     Reads         Bases  ID Uncompressed  ID Compressed  ID Ratio  Aux Uncompressed  Aux Compressed   Aux Ratio  Seq Uncompressed  Seq Compressed  Seq Ratio  Qual Uncompressed  Qual Compressed  Qual Ratio  Filename
  73773895    7377389500       4325009796      234874225    0.0543                 0            1344         inf        7377389500      1326937356     0.1799         7377389500       1616515441      0.2191  1.fastq.quip
  62839264    6283926400       3322593808      182721806    0.0550                 0            1145         inf        6283926400      1374217245     0.2187         6283926400       2264445104      0.3604  2_1.fastq.quip
  62839264    6283926400       3322593808      182721806    0.0550                 0            1145         inf        6283926400      1389320821     0.2211         6283926400       2049030875      0.3261  2_2.fastq.quip
  92795549    4639777450       4794000015      288088693    0.0601                 0             886         inf        4639777450       952143680     0.2052         4639777450       1483507372      0.3197  3.fastq.quip
 124331027   12557433727       7975677890      308290734    0.0387                 0            2489         inf       12557433727      2756508431     0.2195        12557433727       4345024002      0.3460  4_1.fastq.quip
 124331027   12557433727       7975677890      308290734    0.0387                 0            2489         inf       12557433727      2780623785     0.2214        12557433727       4252133153      0.3386  4_2.fastq.quip
 124815011    9485940836       6883829774      228409830    0.0332                 0            1786         inf        9485940836      2142251656     0.2258         9485940836       2689243708      0.2835  5_1.fastq.quip
 124815011    9485940836       6883829774      228409830    0.0332                 0            1786         inf        9485940836      2158859328     0.2276         9485940836       2591980314      0.2732  5_2.fastq.quip
  76766862    5757514650       4424556681      244448211    0.0552                 0            1099         inf        5757514650       769729037     0.1337         5757514650       1089202563      0.1892  6.fastq.quip
  17345097    1734509700        886772054       62651259    0.0707                 0             318         inf        1734509700       248341928     0.1432         1734509700        537674188      0.3100  7_1.fastq.quip
  17345097    1734509700        886772054       62651259    0.0707                 0             318         inf        1734509700       242618491     0.1399         1734509700        572805433      0.3302  7_2.fastq.quip
